Provincias;Periodo;Total
Tarragona;2016;13.263,00
Tarragona;2015;12.898,00
Teruel;2022;16.521,00
Teruel;2021;15.737,00
Teruel;2020;15.022,00
Teruel;2019;14.767,00
Teruel;2018;14.190,00
Teruel;2017;13.511,00
Teruel;2016;13.109,00
Teruel;2015;12.817,00
Toledo;2022;13.783,00
Toledo;2021;12.986,00
Toledo;2020;12.358,00
Toledo;2019;12.183,00
Toledo;2018;11.617,00
Toledo;2017;11.079,00
Toledo;2016;10.538,00
Toledo;2015;10.239,00
Valencia/València;2022;16.563,00
Valencia/València;2021;15.595,00
Valencia/València;2020;14.848,00
Valencia/València;2019;14.631,00
Valencia/València;2018;13.993,00
Valencia/València;2017;13.240,00
Valencia/València;2016;12.725,00
Valencia/València;2015;12.352,00
Valladolid;2022;17.789,00
Valladolid;2021;16.875,00
Valladolid;2020;16.156,00
Valladolid;2019;16.042,00
Valladolid;2018;15.387,00
Valladolid;2017;14.741,00
Valladolid;2016;14.291,00
Valladolid;2015;13.873,00
Zamora;2022;15.137,00
Zamora;2021;14.317,00
Zamora;2020;13.577,00
Zamora;2019;13.268,00
Zamora;2018;12.635,00
Zamora;2017;11.985,00
Zamora;2016;11.579,00
Zamora;2015;11.293,00
Zaragoza;2022;18.149,00
Zaragoza;2021;17.214,00
Zaragoza;2020;16.548,00
Zaragoza;2019;16.401,00
Zaragoza;2018;15.837,00
Zaragoza;2017;15.219,00
Zaragoza;2016;14.444,00
Zaragoza;2015;14.427,00
